date,store_nbr,unit_sales,predicted_sales
2017-05-23,1,11165.753,9706.243
2017-05-23,2,12547.285,11741.559
2017-05-23,3,27039.566,27932.113
2017-05-23,4,10635.164,9919.45
2017-05-23,5,9034.536,7640.9546
2017-05-23,6,15095.894,13702.598
2017-05-23,7,21534.977,18309.87
2017-05-23,8,18197.4,16412.24
2017-05-23,9,16585.796,14712.835
2017-05-23,10,5207.208,5096.1113
2017-05-23,11,18780.943,14968.133
2017-05-23,12,7211.109,6224.6553
2017-05-23,13,6348.418,5342.7876
2017-05-23,14,7509.271,6540.8574
2017-05-23,15,9080.627,7696.4243
2017-05-23,16,5964.049,5035.3906
2017-05-23,17,14043.232,12378.915
2017-05-23,18,11430.24,10302.772
2017-05-23,19,7156.3679999999995,6630.276
2017-05-23,20,11530.298,10160.422
2017-05-23,21,10752.873,9549.171
2017-05-23,22,5295.686,4732.7676
2017-05-23,23,7325.642,6462.6885
2017-05-23,24,16038.574,14183.569
2017-05-23,25,5535.64,4596.597
2017-05-23,26,4675.393,3697.9375
2017-05-23,27,12257.843,11222.87
2017-05-23,28,14260.912,12482.349
2017-05-23,29,12584.769,10549.278
2017-05-23,30,10397.657000000001,5079.0005
2017-05-23,31,13533.115,11257.517
2017-05-23,32,3611.843,3328.9158
2017-05-23,33,9669.062,7997.4395
2017-05-23,34,10380.46,8751.641
2017-05-23,35,5709.181,4519.6284
2017-05-23,36,13423.069,10443.676
2017-05-23,37,12991.199,11074.286
2017-05-23,38,10640.826,8568.419
2017-05-23,39,16268.301,13400.545
2017-05-23,40,14943.375,13799.872
2017-05-23,41,12339.199,9224.484
2017-05-23,42,10302.198,9391.251
2017-05-23,43,12150.298,10559.499
2017-05-23,44,32996.297,30362.812
2017-05-23,45,30379.295000000002,28524.846
2017-05-23,46,23683.378,20433.02
2017-05-23,47,28943.189,26351.643
2017-05-23,48,17884.407,15762.0625
2017-05-23,49,25932.89,26030.916
2017-05-23,50,16402.898,14038.121
2017-05-23,51,18723.993,17502.654
2017-05-23,52,15244.319,14766.639
2017-05-23,53,9459.363,8065.627
2017-05-23,54,7197.268,6386.4727
2017-05-24,1,14001.247,11702.602
2017-05-24,2,13352.108,12879.638
2017-05-24,3,34435.143,30633.4
2017-05-24,4,12049.833,10854.847
2017-05-24,5,8673.585,8009.241
2017-05-24,6,16590.063,14204.754
2017-05-24,7,23886.206,21435.266
2017-05-24,8,21131.907,20053.137
2017-05-24,9,13668.67,11889.561
2017-05-24,10,4833.456,4043.7422
2017-05-24,11,16181.836,13168.228
2017-05-24,12,7571.156999999999,5834.704
2017-05-24,13,6239.353999999999,4748.31
2017-05-24,14,6779.189,5899.807
2017-05-24,15,7644.146,6550.623
2017-05-24,16,5555.065,4853.6885
2017-05-24,17,11216.961,9694.556
2017-05-24,18,7157.629,6640.8667
2017-05-24,19,6862.741,6234.6855
2017-05-24,20,10210.156,9148.398
2017-05-24,21,9370.75,7954.373
2017-05-24,22,5085.043,4465.5723
2017-05-24,23,8967.804,7132.745
2017-05-24,24,18929.161,18031.086
2017-05-24,25,8409.195,6147.531
2017-05-24,26,4225.946,3905.488
2017-05-24,27,14595.216,13199.18
2017-05-24,28,9957.936,8748.274
2017-05-24,29,8740.530999999999,8111.7856
2017-05-24,30,7556.180999999999,3989.2502
2017-05-24,31,8838.296,8249.416
2017-05-24,32,3178.186,2999.4412
2017-05-24,33,6671.691,6114.067
2017-05-24,34,8081.87,7637.3994
2017-05-24,35,5810.015,4484.5605
2017-05-24,36,12993.081,9327.168
2017-05-24,37,14426.291,13325.922
2017-05-24,38,12002.868,10625.758
2017-05-24,39,10853.199999999999,10013.352
2017-05-24,40,11504.425,11053.185
2017-05-24,41,10449.554,10611.443
2017-05-24,42,11778.828,11178.312
2017-05-24,43,10388.231,9092.53
2017-05-24,44,41319.769,37084.266
2017-05-24,45,33613.683,30941.64
2017-05-24,46,24523.29,20609.523
2017-05-24,47,31883.086,28375.973
2017-05-24,48,18377.823,15790.195
2017-05-24,49,33804.176999999996,30876.273
2017-05-24,50,17891.445,14482.811
2017-05-24,51,26311.173,23091.996
2017-05-24,52,23054.552,17075.465
2017-05-24,53,11870.339,10015.742
2017-05-24,54,7360.784,5429.7744
2017-05-25,1,10479.33,8638.823
2017-05-25,2,10260.717,9979.487
2017-05-25,3,29851.62,23304.703
2017-05-25,4,9010.119999999999,7897.2446
2017-05-25,5,7772.166,6908.5073
2017-05-25,6,11863.738,11064.481
2017-05-25,7,19421.196,15723.553
2017-05-25,8,16453.382,13971.264
2017-05-25,9,11790.189,11295.894
2017-05-25,10,4227.701,3932.5742
2017-05-25,11,13966.835,13081.777
2017-05-25,12,6012.717,5470.488
2017-05-25,13,5841.898,4714.7324
2017-05-25,14,6744.785,6122.261
2017-05-25,15,6860.4619999999995,5868.7573
2017-05-25,16,4822.468,3982.2153
2017-05-25,17,9448.504,8384.684
2017-05-25,18,7548.295,6529.6455
2017-05-25,19,7271.537,5728.318
2017-05-25,20,9605.55,8604.533
2017-05-25,21,9559.589,7168.7256
2017-05-25,22,5599.721,4330.2676
2017-05-25,23,6632.503,5729.165
2017-05-25,24,13915.493,13337.079
2017-05-25,25,9268.677,5390.6973
2017-05-25,26,2378.514,2793.4714
2017-05-25,27,9886.57,9457.81
2017-05-25,28,9620.147,8444.942
2017-05-25,29,8211.215,7203.966
2017-05-25,30,5641.592000000001,3964.003
2017-05-25,31,11897.889,9270.947
2017-05-25,32,3227.66,2857.2593
2017-05-25,33,6278.317,5945.826
2017-05-25,34,9788.482,7684.3613
2017-05-25,35,4828.804,3868.306
2017-05-25,36,9448.842999999999,7958.025
2017-05-25,37,12880.538,10048.307
2017-05-25,38,9528.096,7615.669
2017-05-25,39,12393.208999999999,9457.232
2017-05-25,40,10028.585,10239.106
2017-05-25,41,8949.881,8523.965
2017-05-25,42,10898.259,8803.475
2017-05-25,43,10672.422999999999,9004.558
2017-05-25,44,31021.103,27683.473
2017-05-25,45,25104.231,23658.58
2017-05-25,46,19578.155,17684.012
2017-05-25,47,24513.268,23626.764
2017-05-25,48,14284.263,13730.977
2017-05-25,49,27094.517,22368.514
2017-05-25,50,15836.294,12609.713
2017-05-25,51,16889.016,15346.619
2017-05-25,52,17548.311999999998,13335.7
2017-05-25,53,8284.662,7513.406
2017-05-25,54,5367.49,5013.073
2017-05-26,1,5893.632,7324.25
2017-05-26,2,16836.015,12612.385
2017-05-26,3,43816.653,30010.975
2017-05-26,4,13397.574,10286.22
2017-05-26,5,10645.328,8028.817
2017-05-26,6,20002.121,13978.507
2017-05-26,7,18586.578,18318.385
2017-05-26,8,23237.857,18935.615
2017-05-26,9,18393.353,12233.949
2017-05-26,10,5147.215999999999,4095.0227
2017-05-26,11,20332.221,13528.454
2017-05-26,12,7074.504,5623.2705
2017-05-26,13,6370.597,5045.785
2017-05-26,14,13251.559000000003,6130.574
2017-05-26,15,8037.333,5733.7544
2017-05-26,16,7983.157,4521.3594
2017-05-26,17,14622.089,9032.374
2017-05-26,18,10204.428,7095.469
2017-05-26,19,9815.477,6599.929
2017-05-26,20,16612.408,9702.785
2017-05-26,21,12304.489,8499.976
2017-05-26,22,7133.964,4932.1323
2017-05-26,23,8835.64,6916.719
2017-05-26,24,18021.794,15387.834
2017-05-26,25,24182.378,8840.262
2017-05-26,26,5752.828,4481.685
2017-05-26,27,18196.464,12165.003
2017-05-26,28,15961.369,9451.95
2017-05-26,29,12336.101,7813.2734
2017-05-26,30,8334.002999999997,3861.9226
2017-05-26,31,13747.37,9306.806
2017-05-26,32,5517.4220000000005,2932.974
2017-05-26,33,8356.698,5824.4
2017-05-26,34,13129.479,8798.287
2017-05-26,35,7563.314,4478.972
2017-05-26,36,13906.088,8401.172
2017-05-26,37,14540.342,10993.43
2017-05-26,38,13786.427,10202.886
2017-05-26,39,16097.768,10561.992
2017-05-26,40,12682.357,9254.525
2017-05-26,41,17223.399,9517.044
2017-05-26,42,14781.01,10315.014
2017-05-26,43,16825.726,10370.744
2017-05-26,44,58655.28,38133.215
2017-05-26,45,52424.545,34945.027
2017-05-26,46,45945.943,25305.676
2017-05-26,47,47560.358,30396.098
2017-05-26,48,33295.813,20519.049
2017-05-26,49,41285.971,31362.938
2017-05-26,50,27953.257,17020.936
2017-05-26,51,26728.052,21278.254
2017-05-26,52,31723.375,16793.012
2017-05-26,53,14432.094,9995.953
2017-05-26,54,8589.55,5970.845
2017-05-27,1,9147.902,8656.538
2017-05-27,2,16902.219,15142.577
2017-05-27,3,38543.398,37952.13
2017-05-27,4,12880.993,12527.946
2017-05-27,5,9841.544,8728.305
2017-05-27,6,19046.227,18581.219
2017-05-27,7,17457.654,17225.611
2017-05-27,8,23350.511,24776.857
2017-05-27,9,19693.23,18014.252
2017-05-27,10,6467.342,5676.9775
2017-05-27,11,20416.426,16782.092
2017-05-27,12,7908.8099999999995,6886.727
2017-05-27,13,8619.603,7456.083
2017-05-27,14,11249.716,9411.971
2017-05-27,15,7361.137,6854.6455
2017-05-27,16,8391.742999999999,5454.3438
2017-05-27,17,13554.701,13451.601
2017-05-27,18,10237.001,10375.558
2017-05-27,19,13795.82,10841.672
